Input,Output
"""* -9 -6 -5 -7 -5 -9 -5""",-425250
"""/ -1 8 -1 2 -7 -1 -3 3 -4""",0.0
"""* -3 7 -4""",84
"""- 7 6""",1
"""* 5 4 0 -7 4 -9 -6 3""",0
"""- 2 -8 2 -9 2 -8 -1 9 -4""",19
"""+ -3 7 -1 5 4 -4 1 3""",12
"""* -2 8 5 6 6 -7 3 7""",423360
"""+ 3""",3
"""+ 5 -1""",4
"""* -9 -9 -4 -3 6 7 0""",0
"""+ -8 9 8 0""",9
"""- 6 8""",-2
"""/ 3 -3 -1 -1 -3 -7 -5 -4""",-0.0
"""- 6 3""",3
"""* 7 8 9 -4 2 -5 -6 -2""",241920
"""+ -1 7 -4 3 -2 0 5 -1""",7
"""/ -1""",-1
"""* -3 1 -2 -7 -9 -5""",-1890
"""/ 2 -1 -3 -4 9 -8 4 4 -6""",-0.0
"""* -9 3 7 1 -4 -3 1""",-2268
"""+ 8""",8
"""* 4 3 0 -9""",0
"""* -4""",-4
"""+ 4 0 -7 -7 -8 9""",-9
"""+ -1 0 3 5 7 -6 -2 3 3""",12
"""/ 8""",8
"""- -3 3 3 1 -5 -3""",-2
"""- -8 7 7 -4 3 -5 1 -8 0""",-9
"""+ -6 -4""",-10
"""* 9""",9
"""- -5 9 -7 4""",-11
"""+ 9 -3 7""",13
"""+ 6 1 5 6 -4 4 7""",25
"""+ 6 4 1 8 7 -9 -1""",16
"""* -5 1""",-5
"""+ -6 2 1 -1 8 -7 8 0""",5
"""+ -7 -4 -2 6 7""",0
"""- 7 -5 -7""",19
"""- 1 -5 5 -5""",6
"""+ 6 7 9 8 3 -7 3 -2 -5""",22
"""* 9 -6 -4 -4 -9 -5""",-38880
"""+ 1 -2""",-1
"""/ -9 -9 0 -4 2 -8 5""",null
"""- -5""",-5
"""+ -4 -4 -1""",-9
"""- -6""",-6
"""- -9 -4 -5 8 -8 2""",-2
"""* 6""",6
"""/ -1 -5 -5""",-0.04
"""+ 6""",6
"""* -2 6 -4 -1 1 0 -7""",0
"""/ 9 -1""",-9.0
"""+ 4 -7 -3""",-6
"""* 4 7 8 5 -7 8""",-62720
"""+ -2 -8 -8 9 0 0 -3 -3 6""",-9
"""- 2 -7 1 -3 0""",11
"""- 4 -7 0 9 2 8 -3 7 -3""",-9
"""+ -2 -8""",-10
"""* 4""",4
"""* -9 6 -3 0 7 5""",0
"""- -3 -7 -4""",8
"""/ -7 -1 0 -4 4 -3""",null
"""/ -4 -3 6""",0.22
"""- -8 -4 -6 3 5 -1 -3 -9 4""",3
"""- 3 -3 3 -2 8 -6""",3
"""* 1 -9""",-9
"""- 6 -8 8 4 8 6 -2 3""",-13
"""/ 9 -2 -5 7 3 -2 -7""",0.0
"""* 1 8 3""",24
"""- 2 3 5 3 7 3 2 4 -1""",-24
"""+ -4 4 -1 3 4 -3 -7""",-4
"""/ 8 5 -6 5 -4 -1 -2 9""",0.0
"""- -5 5 5 -7 0""",-8
"""/ -5 1""",-5.0
"""/ -6 2 -1 -6 6""",-0.08
"""+ -8 8 -5 7 9""",11
"""+ -7""",-7
"""+ -5 -2 8 -1 -6 -3 1 -3""",-11
"""* -6 5 -1 -9 0 3""",0
"""+ 3 7 -3 -4 7 -7""",3
"""* -1 6 -4 3 5""",360
"""/ -1 8 -3 -6""",-0.01
"""+ -4 -8""",-12
"""/ 9 -1 -4 2 2 9 9 -4 -4""",0.0
"""- -6 -7 -2""",3
"""/ -5 -4 -2 -9 2 9 -4 5 6""",-0.0
"""* 4""",4
"""- 6 -4 1 8""",1
"""- 3 1 6""",-4
"""- 5 4""",1
"""+ -8 -4 -4 9 0 -7 -1""",-15
"""* 0 -3 0 -5 -2 2 6 1 -6""",0
"""- -5 6 8 -6 -1 -5""",-7
"""/ 8 8 -8 1 3 -4 9 -8""",-0.0
"""- -4 -6 0 -7""",9
"""* 4""",4
"""- 9 -2 4 1 -1 0""",7
"""* 6 0 7 -9""",0
"""+ -5 6 -4""",-3
"""* 2 -5 -6""",60
"""/ 1 -7 -7 -7""",-0.0
"""- -6 -9""",3
"""* 6 3 -5 4 -4 1""",1440
"""/ 7 2 1""",3.5
"""+ 7 4 0 -2 -7 -5 8 3 9""",17
"""/ 8 -4 -5""",0.4
"""* -1 5 -2 9 -1 -2""",180
"""+ 0 8 0 -8 4""",4
"""+ 8 -7 -4 5 -8 -6 -2""",-14
"""/ 5 -1 1 8 5 -1 -6""",-0.02
"""- -1 5""",-6
"""+ 2 -8 -4 -8 5 8 8 7 1""",11
"""- 5 -1 -2 -3 7 -3""",7
"""+ 8 -5 -6 -6 3 -1 -7""",-14
"""/ 4 8 2 5""",0.05
"""/ 3 8 5 -8 -8 2 -9 -1 7""",0.0
"""* 0 9 6 1 3 -7 8 -6""",0
"""* 3 3 -8 4 -3""",864
"""/ -2 -2 9 -6 1 -9 4 -8""",-0.0
"""- -5 -3 9 -3 -5 4 -7""",0
"""+ -2 -5 -9 -5 -2 3 -3 -7""",-30
"""/ -1 7 6 2 -3 6 -9""",-0.0
"""+ -6 -1 4 -6 -2 -6 4 1""",-12
"""/ -8 -2 8 -7 2 -6 0""",null
"""+ 0 -4 -1""",-5
"""+ 8""",8
"""+ 1 -6 2 -2 0""",-5
"""+ 6""",6
"""/ 0 -5 1 2 1""",-0.0
"""- -1 1 5 8 9 6""",-30
"""* -2 -1 -6 7 5 -8 -6 -5""",100800
"""/ -7 7 -7 6 9""",0.0
"""/ 8 -5 7 -6""",0.04
"""+ -3 6 4 -1 -7 8 -8 4""",3
"""- 9""",9
"""/ 7 -2 1 6 -7""",0.08
"""+ 1 9 7 5 -7 -7 3""",11
"""* 6 8 -7 4 -3 3 -8 8""",-774144
"""* 6 1 2 -2 -6 -9 -3 6 3""",69984
"""+ -2 9""",7
"""/ -7""",-7
"""+ -4 7""",3
"""+ -1 -2""",-3
"""- 0 -5""",5
"""+ 1 0 2 2 -9 0 2 -8""",-10
"""- -3 5 7 -4""",-11
"""* 9 -9 1 -5""",405
"""+ 0 -1 6""",5
"""- 4 6 -2 2 -6""",4
"""+ 3 -4 -8 2 -5 4 1""",-7
"""- 9 -6 -7""",22
"""* 2 -2 -2 2 4 -9 -1 6""",3456
"""- -9 -5 2 8""",-14
"""+ -5 -4 3 1 -7 1""",-11
"""* -9""",-9
"""/ -2 -5 4 -2 6 9 -7 -8 -5""",0.0
"""+ 6 -2 2 5""",11
"""- 4 -6 9 2 -2 2""",-1
"""/ 3 7 3""",0.14
"""- 5 -2 -8""",15
"""* 5 3 -1""",-15
"""/ -9 -9 4 3 -2 -8 4 3""",0.0
"""/ -7""",-7
"""+ -6 6""",0
"""+ 7 -1 8 1""",15
"""+ -5 -9 -1 7 6 -4 8 -2 -1""",-1
"""* -7 -9 3""",189
"""/ -3 -2 0 -8 2""",null
"""- 9 1 6 1""",1
"""* 9 -1 -8 2 -5 5 -5""",18000
"""- -8 -3 -2 -9 4 9 -6""",-1
"""+ 7 2 -6 3 8 -9 0 6 4""",15
"""+ -4 8 -8""",-4
"""* -3 -4 -1 0""",0
"""+ -9 1""",-8
"""- 4 -3 -4""",11
"""* -1 -5""",5
"""- -2 6""",-8
"""- 3 3 -9""",9
"""* 2 -1 -3 1 8 5 5""",1200
"""/ -7 3 -8 -4 -5""",0.01
"""* 3 -9 0 8 0 8 7 7 2""",0
"""* 8 8 9 8 8 -6 9""",-1990656
"""* -3 1 0""",0
"""* 6 -9""",-54
"""+ 8 0 2 8 -4 -6 -7 -9 -5""",-13
"""+ -7 7 -7 -8 8 -6 -4 3""",-14
"""* 2 0 0""",0
"""/ -6 -4 0 -8""",null
"""/ 2 -6 7 -8 -4 1 -3 5""",0.0
"""+ 6 0 0""",6
"""- -3 6 3 4 5 8 -6 -6 5""",-22
"""- 4 8 4 -6 5 -3""",-4
"""* 8 -1 2""",-16
"""+ -4 8 5 9 -2 1 -3 9""",23
"""* -1 -1 -5 2 -4 2 3""",240
"""/ 5 3 -2 0 3""",null
"""/ -3 -5 9 3 9 -5 -7 9 -3""",-0.0
"""* -7 7 1 6 -8 -8""",-18816
"""/ -9""",-9
"""/ 2 -7 4""",-0.07
"""/ 6 6 4 -6 -2 -8""",-0.0
"""* -6 8""",-48
"""* 2 4""",8
"""- 4""",4
"""- -8 -4 -9 5""",0
"""- 9 1 5 -4 7 -2 -3""",5
"""/ 1 -3 -4 -1 5 4 -3""",0.0
"""+ -9 9 -2 5 4 7 -7 9""",16
"""/ 8 7 -3 0""",null
"""- 8 -4""",12
"""* -4 -8 2""",64
"""- 5""",5
"""/ -3""",-3
"""/ -5 5 -9 1 -4 3 5""",-0.0
"""/ -2 6 3 3 7 6 -4 7""",0.0
"""/ -1 5 0 0""",null
"""+ 4 -9 2 -2 3 8 -2""",4
"""+ -3 3 2""",2
"""/ 8 -8 8 2 6 -8 3 4""",0.0
"""/ -1 -1 -9 7""",-0.02
"""- 0 -5 -1 -8 -2 5 9 6 7""",-11
"""* -9 3 -4 -6 4""",-2592
"""* -9 1 -1""",9
"""* -4""",-4
"""/ -5 -7""",0.71
"""+ 3 -1 5 -4""",3
"""* 7 9""",63
"""* -5 -2 -7 2 -1 2 6 8""",13440
"""+ 4 3 -4""",3
"""- -3 -4 -8 6 9 1 1 0 -9""",1
"""+ -9 -2 3""",-8
"""* -1 9 5 9 -3 2 8 -1""",-19440
"""* 8 7 7""",392
"""+ -9 -8 -5 5 -2 7 6 -3 -5""",-14
"""/ 0 0 -7""",null
"""/ 5 3 0""",null
"""+ -6 -3 6 8 -8""",-3
"""+ -3""",-3
"""+ 8 3 1 -2 2 -5 -7 4""",4
"""* -6 8 -6 -1 8 -7""",16128
"""+ 4 6 -3""",7
"""- -4 3 3 1 -6""",-5
"""- 2 -8 2 6 -9 -1 1 1""",10
"""/ 4 8 -2 -6 2""",0.02
"""/ 2 -5 3 1 4 -9 2""",0.0
"""/ 3""",3
"""/ 7 -1 -4 1 -1 7""",-0.25
"""/ 4""",4
"""/ -8 -2 6 9""",0.07
"""+ -5""",-5
"""/ 8""",8
"""/ -2 4 1 0""",null
"""* -9""",-9
"""+ 0 -7 4 4 1 0""",2
"""- 4 -1 -9 3 1 0 1 -9 1""",17
"""- -6 0""",-6
"""/ 8 5 1 -4 9""",-0.04
"""/ -6 -8 -8 6 6 -5 -3 -6 -9""",-0.0
"""- 2 -4 8 -3""",1
"""/ 1 3 1 5 3 -9""",-0.0
"""- -8 -3 7 9 8 -6 1 -9 -1""",-14
"""- 3""",3
"""* -1""",-1
"""+ 3 -9 2 -2 -7""",-13
"""/ -6 9 -1 -6""",-0.11
"""/ -5 4 1 -6 -3""",-0.07
"""- -3 2 -4 8""",-9
"""- 5 3 1 -4""",5
"""* -4 -3 8 2""",192
"""+ -6 5 0 -3""",-4
"""/ -4 1 -7 -4 -8 -5""",-0.0
"""- 0 4 -5 5 -9 -2 -8""",15
"""- 1 -9 -6 -7 2 -6 -8 -7 -6""",48
"""* -1 8 2""",-16
"""/ 9 3 -4 5 8 1 -9 -4 -3""",0.0
"""- -5 3""",-8
"""/ -8 -1 0 -7 -1""",null
"""- -9 -5""",-4
"""+ 9 -1 2""",10
"""/ 1 8""",0.12
"""* -6 8 6 -6 5 5 0 -9 -4""",0
"""- 7 -8 6 5 -7 1 7""",3
"""- -4 -8""",4
"""- -6 -7 9 8""",-16
"""- -2 1 -4 -1""",2
"""+ -7 1 -1 -3""",-10
"""- 9""",9
"""* -3 6 2 6""",-216
"""+ 3 7""",10
"""* -4 -4 8 7 -9 3""",-24192
"""+ -8 5""",-3
"""* 3 0 -1 -9 8 5 1""",0
"""+ -3 7 4 4 -4 2 -7""",3
"""- -9 -9 -2 -7 4 6""",-1
"""/ -4 7 -3 -5 -8 -6 6""",-0.0
"""+ 0 -3 3 -3 6 1""",4
"""+ 7 4 9 0 -4 -8 -5 4""",7
"""* -3 8""",-24
"""/ 4 5 -4 1 -6 -9 -3""",0.0
"""* 2 7 -6 -4""",336
"""- 6 -7 8 9 -6 7""",-5
"""+ 9 -4 -8 -2""",-5
"""+ -2 0 0 4""",2
"""- 4 -5 8 4 2 6 8 9""",-28
"""/ -3 -7 2 6 -6 5 -2""",0.0
"""/ -5""",-5
"""/ -8 6 4 5 3 -3 6 2 1""",0.0
"""/ 8 -8 2 -2 -8 4 -1""",0.01
"""* -7 8 -4 9 9 3 -7 -5""",1905120
"""+ -8 3 -4 5 2 -8""",-10
"""- 3 3 -9""",9
"""+ 7 0 3 2""",12
"""* 1 -1 -2 4 -3 -2 2""",96
"""+ 2 9 -4 3 -1 -6 -7 6""",2
"""/ -7 -6""",1.17
"""/ 0 -6 4 2 0 5 -6 1""",null
"""/ 4 2 -6 -8 -6 4 -8 5 -1""",-0.0
"""/ -3 -4 -8 5 -3 2""",0.0
"""+ -2""",-2
"""/ -8 4 0 6 -1 0 -9 -6 4""",null
"""+ 9 -1""",8
"""* -1 6 -4 4""",96
"""+ 4 4 5 9 -2 -7 -3""",10
"""+ 4 2 -2 3 7""",14
"""- 2 -8 0 2""",8
"""- -5 1 8 -6 -3 -4""",-1
"""* -8 -6 -1 -6 1""",288
"""/ 6 0 -8 -3 2 -3 -6 2""",null
"""* 0 -9 9 4 -8 0 8 9 -6""",0
"""- -9 -8 -7 2 7""",-3
"""/ -1 1 -3 -9 -9""",0.0
"""/ 8 8 -3 -8 -7 -4 -3 4""",-0.0
"""* -6 1 -1 2 -2""",-24
"""+ 5 -2 -8 -1 3""",-3
"""+ 5 1 7 8 6 0 3 0 -3""",27
"""+ -2""",-2
"""+ 9 5 1 6 1 -3 -1 0 -9""",9
"""+ -5""",-5
"""/ 3 9 6 3 2 7""",0.0
"""+ 2 -4 -6 6 -6 8 1 2""",3
"""/ -4 -7""",0.57
"""- 5 4 3""",-2
"""* 8 3 6""",144
"""/ 9 1""",9.0
"""/ 6""",6
"""+ -4 7 8 6 2 -6 1 -1""",13
"""/ -7""",-7
"""+ -4 -7 -7 3 6 2 8""",1
"""* -9 -5""",45
"""* -4 8 -1 -4""",-128
"""+ 2 8 9 -9 3 8 -1""",20
"""* -1 2 4 9 0 9 -6 -9""",0
"""* 3 4 3 5""",180
"""/ -6 -8 7 -2 6 -5""",0.0
"""* -7 -8 8 -9 3 -3 4 6""",870912
"""- -2 4 5 -6 9""",-14
"""/ -7""",-7
"""/ 2 8 -3 4 6 8 2 2 6""",-0.0
"""/ -8 2 5 7""",-0.11
"""/ 4 -9 -2 7 0 -2 -6 8 2""",null
"""* -3 -4 -9 -4 1 0 9""",0
"""* 4 -1 -2 -2""",-16
"""* 1 3 -7 -3 3 -1 1 4 -5""",3780
"""/ 0 -8 3 -8 -6 5 -2 -2""",-0.0
"""/ 2 -8""",-0.25
"""/ -5 -1 2 -1 -9 9 -5 -6 -1""",-0.0
"""+ -5 7""",2
"""+ 5 -6 -4 0""",-5
"""- 9 7 4 -5 -6""",9
"""- 3 -5 -2 4""",6
"""- 0 1 -5 2 3 7 -8""",0
"""+ 4 1 5 -1 6 5 -5 -5""",10
"""- 4 7 -3 1""",-1
"""/ 6""",6
"""+ -3 -7""",-10
"""+ 5""",5
"""- 3 8 -8 5 -8 1 -6 5 -7""",13
"""/ -2 -4 -6 2 -6 3 0""",null
"""- -8 -1 -5 5""",-7
"""+ 9 -6 2 4 5""",14
"""+ -7 6 -2 7 1 8 -6 -5""",2
"""- -6 -9 5 -2 6 -1 1""",-6
"""- 2 -6 9 9 -9 0""",-1
"""+ -5 0 1 -5 -3 4""",-8
"""/ -2""",-2
"""+ 4 3 -1 -4 7""",9
"""- -3""",-3
"""/ -2 9 6 7 -1 6 8""",0.0
"""- -1 9 8 3""",-21
"""+ -7 -7 2 -9 6 -2 -6""",-23
"""- 4 8""",-4
"""/ 0 4 -1 -4 -2 -4 -3 -8""",0.0
"""* 7 7 -9 8 1 -5""",17640
"""/ 9""",9
"""* 0 2 -9 0 -8 -2 9""",0
"""+ -6 1 -8 6 -5 7 -5""",-10
"""- 3 -2 7 -7""",5
"""- 8 5 9 8""",-14
"""- 2 8 -2 4 4""",-12
"""* -2""",-2
"""- -5 8 7 7 -9 -2 -8""",-8
"""/ 7 -8 -7 4 4 -9 9 -3""",0.0
"""- 9 1 -3 6""",5
"""- -1 2 -2 8 -6 -7 4 -2 0""",2
"""- 2 -4 1""",5
"""- -8 5 -4 -5 -4""",0
"""* 6 7 -9 5 -5 7 1 9""",595350
"""/ 0 7 -6 -7 -4 0 -6 -7 -1""",null
"""- -7 5 7 -6 -1 8 9 3 6""",-38
"""- -2 -7 8 1 6""",-10
"""* -9 6 -6 -3 0 6""",0
"""- 2 5 -4 -3""",4
"""* -3 -1 -3 -4 -3 5 -8""",4320
"""+ 1 -8 -1 -8 -5 3""",-18
"""* 1 4 -7""",-28
"""+ -8 5""",-3
"""/ 6 -1 -6 5 6""",0.03
"""+ 6 -1 -4 -3 5""",3
"""/ -3 8 6 -3 6 8 7""",0.0
"""- 8 1 3""",4
"""* -3 2 -9 1 2 9 1 -4 7""",-27216
"""/ -2 -1 0 2 8 -7 -2 -1 -4""",null
"""+ 7 0 -7 6""",6
"""* 4 1 -7 2 0 -6 7 -3 -5""",0
"""- 1 7 -8""",2
"""+ 9 -2""",7
"""* -9 -7 -9 7 -4 -4""",-63504
"""- 3 6 1 -8 8 3 8 -9 4""",-10
"""/ 4 -3 9""",-0.15
"""/ -3""",-3
"""* 3""",3
"""- -9 1 3 1 9 1""",-24
"""* 2 1 -8 1""",-16
"""- -8 7""",-15
"""+ 4 0""",4
"""- -9 4""",-13
"""+ -7 -7""",-14
"""+ 4 -5 1 -5 8 -6""",-3
"""- -2 -9 6 -1""",2
"""+ -9""",-9
"""+ -6""",-6
"""* 5 -6 -2 8 3 3 -5 9 -1""",194400
"""* 2 2 -2 -4 -9 6""",-1728
"""* 7 -9""",-63
"""/ 8""",8
"""- 4""",4
"""* -6 -1 8 -8 2 -6""",4608
"""- 1 -1 7""",-5
"""+ -6 7 2 -4 5""",4
"""* -5 3""",-15
"""* -9 -8 -6""",-432
"""+ -4 -7 -9 1 5 -7 8 5 0""",-8
"""- 0 0""",0
"""+ 2 6 2 0 3 5""",18
"""/ 9 -2 9""",-0.5
"""/ 1 -3 8 -8 5 5""",0.0
"""+ 6 -4 9 9 -2 -9""",9
"""/ 2 -2 7 -2""",0.07
"""- 6 -8 4 -3 2 6 -1""",6
"""- 7 -1""",8
"""- -6 9 0 -8 6 6 3 5""",-27
"""* -3 0 -9 -5 7""",0
"""+ 1""",1
"""- -2 4 -9""",3
"""- -3 0 4 -3 6 1""",-11
"""- -5 -8 3""",0
"""- 8 -9 -6 -6 7""",22
"""+ 9 6 -7 -8 6 7 -3 5 3""",18
"""+ -9 -9""",-18
"""- 4""",4
"""+ -3 4 0 3""",4
"""+ -1 7 4 8 0 3 -4 7 -8""",16
"""/ -1""",-1
"""/ 6 -5 9 9 -6 -3""",-0.0
"""* 8 6 4 3 -5""",-2880
"""- -2 -3 -1 -8 -8 -9 -9 -4 -4""",44
"""* 6 -5 8 -2 -6 5 -1 1""",14400
"""* -4 -1 6 -9 -1 9""",1944
"""* -5 -2 -5 4""",-200
"""+ -7 0 8 1 -7 4 0 -7 4""",-4
"""- -6 -2 8 3 9 -8""",-16
"""+ 1 2 -3 9 -7 -5 7 2""",6
"""/ -4 -5 5""",0.16
"""* 1""",1
"""* 6""",6
"""+ 9 7 4""",20
"""/ -5 6 -3 2 7""",0.02
"""/ 1 -5 -1 -5 8 -1""",0.01
"""- 2 -9 6 5 9 -3 1""",-7
"""+ 9 -8""",1
"""* 9 -1 -6 -6 -1 4""",1296
"""/ -2 -6 -7""",-0.05
"""+ 9 7 1 1 -1""",17
"""* -9""",-9
"""* -2 -8 -2""",-32
"""/ 1 2 6 7 -1""",-0.01
"""* -3 5 -9 9 -6 -1 -3""",-21870
"""* 2 -1 -4 3 0 3 -1 6""",0
"""* 5 8 7 4 0 1 9""",0
"""/ 2 -6 -9 -3 2""",-0.01
"""- -6 5 -1 -4 -2 1""",-5
"""/ -7 3""",-2.33
"""+ -7 -1 4 9 -8 9 -6 2""",2
"""- 5 1 -3 -5 -3 -8 1 4 -2""",20
"""/ -4 -3 0 3 -2 -2 5 -5""",null
"""* 1 -3 -4 -5 -3 -4 9 -8""",51840
"""+ 7 0""",7
"""* 6 7 1 -3 -5""",630
"""- 1 -9 8 0 -9 1 -1""",11
"""/ 9 2 -1 6 5 8 5 0""",null
"""/ -6 9 -6 -1 -5 9 -3""",-0.0
"""* -1""",-1
"""/ 2 8 1 -7 -5 5""",0.0
"""/ 2""",2
"""/ 9 -7""",-1.29
"""* 4 8 -9 3 -6 -6 -5""",155520
"""- -3 9 9 7 5""",-33
"""/ -4 6 1 -6 0 -1 0 0 -7""",null
"""+ 6 5 8 6 -6 -9 0""",10
"""+ -2 9 4""",11
"""+ 2 -8 7 8 -6 -4""",-1
"""* 9""",9
"""- -1 -2""",1
"""/ 4 -7 -7 -3 -3 6 8""",0.0
"""+ -7 -8""",-15
"""/ -7""",-7
"""- 4 -7""",11
"""- -7 5 8 -2 9""",-27
"""- 6 -5 0 5 -3""",9
"""- -8""",-8
"""+ 4 0 -6 2 5 6 -2 8 5""",22
"""- -3 7 -8 -3 -7 0 -1""",9
"""+ 6 -4 4 0""",6
"""/ 8 -2 4 -7""",0.14
"""+ 1 2 9 0 -8 -7 1""",-2
"""/ 7""",7
"""+ 7 9 3""",19
"""/ -5 -2""",2.5
"""/ -5 6""",-0.83
"""+ 1 -5 -7""",-11
"""/ -9 1 -5 9 -1 -9""",0.02
"""- 5 7""",-2
"""+ -8 -7""",-15
"""+ -2 8 5 0""",11
"""* -1""",-1
"""/ -2 7 -8 -6 9""",-0.0
"""* -4 -3 -2 -7 -5 9""",-7560
"""/ -7""",-7
"""+ -8 -6 -2 -1 -4""",-21
"""- -1 -9 -6 3 -5 -5""",21
"""* 2 5 8 9""",720
"""+ 7 -1 6""",12
"""/ 3 6 -3 -6 -6 7 -6 -4 -6""",0.0
"""/ -6 2 0 -3""",null
"""* -6""",-6
"""- 7 0 -1 -7 -9 2""",22
"""+ -9 9 -9 0 7 5 7""",10
"""/ -9 -7 1 -6 4 4 -1""",0.01
"""/ 4""",4
"""+ 3""",3
"""/ -6""",-6
"""/ -1 2 -7""",0.07
"""* -4 4 9""",-144
"""* 5 -2 3 -4 4 8""",3840
"""- -9 -1 5 -9 -4 3 2""",-5
"""* -5 2 -5 7 3""",1050
"""+ 1 -1 3""",3
"""* -2 1 -3 -8 -4 -4 1""",-768
"""* -5 7 -7""",245
"""- 3 -9 7 1 9""",-5
"""* -1 -1""",1
"""+ 2 -6 -6 5 -1 2""",-4
"""* -1 5 8 0 2 0""",0
"""+ -2 9 -5 -6 -6 -2 3 -1""",-10
"""* -3 1 8 -6""",144
"""- -4 8 4""",-16
"""+ 8 -4 -4""",0
"""* -7 -3 5 9""",945
"""/ -2""",-2
"""* -6""",-6
"""- 9 1 -4 -6 -4 -7 -5""",34
"""- 4 -7 6 1""",4
"""+ 2 -1""",1
"""+ -6 5 -9 6 -3 -7 -2 -7 -1""",-24
"""+ -9 -8 -1 -4 5 0""",-17
"""/ -6 8 -6 -5 2""",-0.01
"""/ 7 1 6 8 -2""",-0.07
"""+ -1 8 5 3 -8""",7
"""- 7 -2 -1 -7 3 -1 -7 -8""",30
"""+ 1 6""",7
"""+ -1 -5""",-6
"""* -9 -9 7 2 -3 1 3""",-10206
"""- 2 -4 5 9 -1 -1 9""",-15
"""- -8 3 -4 -6 -7 0 -1""",7
"""- 1""",1
"""+ -6 7 -2 -7 -4 3 0""",-9
"""+ 7 -4 1 8 -9 -6 -4 -8 -4""",-19
"""* 3""",3
"""/ -9 -9 -8 -1 -2 -5 7 9""",0.0
"""+ -8 -1 -2 -1 -6 -6 3 -3 0""",-24
"""- 4 4""",0
"""* -4 -2 -1 -5 -8""",-320
"""* 4""",4
"""+ 4 0 2 -7 4 9""",12
"""/ 9 1 -3 -8 3 -2 -8 8 1""",0.0
"""- -4 0 7 0 9 7 -7 -5 -2""",-13
"""+ -3 7""",4
"""- 7 0 -7""",14
"""/ 4 6 1 -6 1 -1 -2""",-0.06
"""- 2 3 3 2 4""",-10
"""/ 6 -5""",-1.2
"""+ 1 3 4 4 -6 -8""",-2
"""+ 1 -8 -7 -8""",-22
"""* -9 4""",-36
"""/ 7 0 6 6 -7 9 8""",null
"""/ 6 2 1 -4""",-0.75
"""- 8 -8 -1 1""",16
"""+ 2 6 -3 0""",5
"""+ 5""",5
"""/ -9 -4 5 9 9 -1""",-0.01
"""/ -7 9 -7 -8 5 -1""",0.0
"""* 8 7 2 -3 7 1 -4""",9408
"""* -8 -3 4 -1 4 -5""",1920
"""+ -3 -5 -9 -2""",-19
"""/ -6 9 -1 -9 2 -1""",0.04
"""+ 8 3 8 -5""",14
"""/ 8 -4 8 -2 -9 4""",-0.0
"""/ 4 -7 -9""",0.06
"""+ 1 3 3 9 4 -9 7 -6""",12
"""+ -4 8 5 7 5""",21
"""/ 6 6 1""",1.0
"""- 3 6 1 2 -2 -7 -3 6 1""",-1
"""+ 3 -5 -4 -9""",-15
"""- -8 -5 0 9 -5 9 4 -7""",-13
"""+ 5 4 1 -3 -2 7 -4 -9""",-1
"""/ 4 0 -9 4""",null
"""/ 0 -6 5""",-0.0
"""+ -3 7 1 1 -5""",1
"""* -3""",-3
"""* -1 -7 -3 6 -7""",882
"""* -7""",-7
"""* 2""",2
"""/ 8 1 -2 -5""",0.8
"""- 5 -2 7 -7 2""",5
"""+ -3 -3 2""",-4
"""* 6 -8 -4 6 -3 -7 -4 8""",-774144
"""/ -9 2 4 7 1 0 8 1 0""",null
"""* 1 -9 0 4 9""",0
"""- -1 -1 0 1 -2 9 5""",-13
"""/ 9 6 -3 1 4 -9 -2""",-0.01
"""+ 1""",1
"""- 5 4 -1 5 -3""",0
"""+ 3 -4 2 1 6 9 3 2""",22
"""+ -3 -4 2 -8 0 -3 -1 5 -3""",-15
"""- 6 -3""",9
"""/ 5 9 9 -4""",-0.02
"""- -2 9 4 8 0 -8 -8 1 -8""",0
"""- 4 -4 -4 -2 3 9 -5 3 -7""",11
"""/ 9 3 -7 -1 8 -8""",-0.01
"""* -4 9 1""",-36
"""/ -8""",-8
"""- 7 0 2""",5
"""* -9 -4 8 3 -7""",-6048
"""+ 7 -4 1 -7 -3 7 1 -1 9""",10
"""- -5 -6 -6 6 2 -1 -3 -6 2""",7
"""- 4 5""",-1
"""* 7 5 -4 8 -9 2 6""",120960
"""+ 3 6 -9 8""",8
"""/ 9 -7 2""",-0.64
"""* 5 8""",40
"""/ 0 -2 -4 9 -6""",-0.0
"""* -8 -5 2 6 5""",2400
"""- 1""",1
"""- 0""",0
"""- 1 -8 -5 3 8 5 -2""",0
"""+ 8 4 8 1 -2 -4 2""",17
"""- -2 -6 -9 8 -3 3 -5""",10
"""/ 5 -6 8""",-0.1
"""+ -7 -5 2 5""",-5
"""/ 8 -4 -5 -8""",-0.05
"""/ -9 -1 8 -1""",-1.12
"""- 1 4 -7 -7 -9 0 8 1 -9""",20
"""+ 6 1 -6 -6 -8""",-13
"""* -4""",-4
"""- 0 -1 -9 9 5 -1 -7""",4
"""- -9 -6 2 6 -6 -5 -4 -6 -1""",11
"""* 9 -5 5 6 9 -3 1""",36450
"""* -5""",-5
"""/ -7 -3 8""",0.29
"""* 2 7 8 4""",448
"""/ -4 -4 -8 -1 7 -6 -1 -9 -3""",0.0
"""- 7 3""",4
"""/ -5 -6 6 -8""",-0.02
"""- 9 -7 -5 -1""",22
"""- -4 -4 -6 2 -1 -3 6""",2
"""- 9 4 6 3 -6 -9""",11
"""+ 8 -8 9 -9 -2""",-2
"""/ -9 -8 0 -4 -1""",null
